index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
217,12198,Cedar Park Montessori School,private,Cedar Park,78613,PK-5,10,4,13.0,30.521534,-97.82558,110
218,11543,Good Shepherd Lutheran School,private,Cedar Park,78630,1-3,6,2,7.6000000000000005,30.51848,-97.83771,754
219,25192,Apple Blossom Center for Discovery,private,Leander,78641,PK-5,7,4,9.700000000000001,30.55476,-97.768234,6
220,9136,Cactus Ranch Elementary School,public,Round Rock,78681,PK-5,10,4,13.0,30.540375,-97.72237,1037
221,18920,Westside Elementary School,public,Cedar Park,78613,PK-5,8,4,10.8,30.49713,-97.85294,569
222,4259,Lois F Giddens Elementary School,public,Cedar Park,78613,PK-5,4,4,6.4,30.524145,-97.84521,556
223,4256,Block House Creek Elementary School,public,Leander,78641,PK-5,7,3,9.200000000000001,30.541235,-97.83188,642
224,2032,Popham Elementary School,public,Austin,78617,PK-5,3,4,5.300000000000001,30.157845,-97.64396,775
225,25590,Lagos Elementary School,public,Manor,78653,PK-5,7,5,10.200000000000001,30.332155,-97.56011,373
226,2030,Del Valle High School,public,Travis County,78617,9-12,3,3,4.800000000000001,30.18,-97.61257,3003
227,11955,Oak Meadows Elementary School,public,Manor,78653,PK-5,2,4,4.2,30.243221,-97.55703,564
228,11953,Decker Middle School,public,Manor,78653,6-8,4,3,5.9,30.243427,-97.55673,855
229,2037,Del Valle Opportunity Center,public,Travis County,78617,PK-12,4,4,6.4,30.178148,-97.61503,198
230,9118,Del Valle Elementary School,public,Travis County,78617,PK-5,3,3,4.800000000000001,30.174398,-97.623146,837
231,2031,Del Valle Middle School,public,Travis County,78617,6-8,4,3,5.9,30.173658,-97.62334,972
232,11532,Concordia High School,private,Round Rock,78664,9-12,8,5,11.3,30.459965,-97.65253,119
233,9932,Caldwell Elementary School,public,Round Rock,78664,PK-5,6,3,8.100000000000001,30.46883,-97.65532,706
234,5423,Windermere Primary School,public,Pflugerville,78660,PK-2,5,4,7.5,30.464972,-97.64337,441
235,5415,Windermere Elementary School,public,Pflugerville,78660,3-5,7,4,9.700000000000001,30.464579,-97.64243,418
236,25194,Challenger School - Round Rock,private,Round Rock,78664,PK-2,6,4,8.600000000000001,30.495462,-97.64938,199
237,9135,Neysa Callison Elementary School,public,Round Rock,78664,PK-5,4,3,5.9,30.502146,-97.659134,845
238,9656,Cedar Ridge High School,public,Round Rock,78664,9-12,6,4,8.600000000000001,30.491676,-97.64061,2746
239,20081,Triumph Academy of Round Rock,private,Round Rock,78664,K-3,6,4,8.600000000000001,30.50246,-97.657555,60
240,5876,C D Fulkes Middle School,public,Round Rock,78664,6-8,4,3,5.9,30.511213,-97.68207,705
241,5866,Gattis Elementary School,public,Round Rock,78665,PK-5,7,4,9.700000000000001,30.499079,-97.64156,735
242,5417,Park Crest Middle School,public,Pflugerville,78660,6-8,7,3,9.200000000000001,30.456682,-97.61837,901
243,5419,Brookhollow Elementary School,public,Pflugerville,78660,PK-5,5,3,7.0,30.452671,-97.61812,456
244,19759,The Fellowship Christian Academy,private,Round Rock,78664,PK-3,10,2,12.0,30.495375,-97.62895,58
245,19661,Applegate Adventist Jr Academy,private,Round Rock,78680,PK-7,10,2,12.0,30.517311,-97.6901,58
246,9468,Ridgeview Middle School,public,Round Rock,78665,6-8,9,3,11.4,30.499964,-97.62572,1377
247,9131,Blackland Prairie Elementary School,public,Round Rock,78665,PK-5,9,4,11.9,30.499018,-97.62299,812
248,5879,Vic Robertson Elementary School,public,Round Rock,78664,PK-5,4,4,6.4,30.52395,-97.66328,491
249,20569,St Dominic Savio Catholic High School,private,Austin,78717,9-12,6,5,9.100000000000001,30.489943,-97.75919,371
250,19534,Elsa England Elementary School,public,Austin,78717,PK-5,10,4,13.0,30.49369,-97.750725,903
251,5880,Cedar Valley Middle School,public,Austin,78717,6-8,10,4,13.0,30.492628,-97.73422,1368
252,5899,Great Oaks Elementary School,public,Round Rock,78681,PK-5,9,4,11.9,30.495317,-97.73855,722
253,19532,Pearson Ranch Middle,public,Austin,78717,6-8,9,4,11.9,30.496775,-97.75084,722
254,25196,Challenger School - Avery Ranch,private,Austin,78717,PK-5,8,3,10.3,30.497791,-97.773125,906
255,9133,Patsy Sommer Elementary School,public,Austin,78717,PK-5,10,4,13.0,30.504526,-97.75202,1073
256,11575,Shoreline Christian School,private,Austin,78728,PK-7,9,3,11.4,30.45918,-97.69389,2709
